person,Frecuencia
33ee0d42,Nunca
33f48159,Nunca
33f6817a,Nunca
33f99c57,Esporadico
33fc0fe9,Nunca
33fc9cf8,Esporadico
33fd8777,Nunca
33fea8dc,Nunca
3404ee6d,Nunca
34088281,Nunca
340d07de,Nunca
340f11a1,Nunca
340f7a96,Nunca
34112d73,Nunca
341247e4,Nunca
3412c047,Nunca
34149b63,Nunca
34185b7e,Nunca
34195508,Nunca
3419fa1a,Nunca
341d9882,Nunca
341e977d,Nunca
34206db5,Nunca
342147d3,Nunca
34251c46,Casi nunca
342523a7,Nunca
3425d356,Nunca
342ac380,Nunca
342e5010,Nunca
342faed8,Nunca
34327bdb,Nunca
343555d8,Nunca
343618be,Casi nunca
343749cd,Nunca
34398eeb,Nunca
343a0ca5,Nunca
343b1fad,Nunca
343e1489,Nunca
343ebace,Nunca
343ec744,Nunca
343f8524,Nunca
344078fa,Nunca
3440cf26,Nunca
3443d00f,Nunca
34445e57,Nunca
3447b82b,Nunca
3448a71b,Nunca
344acad2,Nunca
344e3902,Nunca
3451b2af,Nunca
3453cf22,Nunca
345479d3,Nunca
3454d15c,Nunca
3457a2eb,Nunca
345887d2,Nunca
345adbec,Nunca
345fc18e,Esporadico
3461e3cd,Nunca
3465d3c6,Nunca
3465f300,Frecuente
3466f986,Nunca
346ae78a,Nunca
346aebaa,Nunca
346c8dad,Nunca
346d4fc3,Nunca
346e32ff,Nunca
347184ac,Nunca
3474b766,Nunca
34756a17,Nunca
3475b555,Nunca
347c68a6,Nunca
347f0cfc,Nunca
347f5443,Nunca
34805a13,Nunca
34827cfe,Nunca
34837bc5,Nunca
3484e568,Nunca
3486aa0c,Frecuente
3487271e,Nunca
34875a79,Casi nunca
3487708d,Esporadico
348a491f,Nunca
348b5a1b,Nunca
348b600b,Nunca
34908ad8,Nunca
3493d0af,Nunca
3499728a,Nunca
349d0750,Nunca
349d9ae5,Nunca
349f01a7,Nunca
34a1233a,Nunca
34a74569,Nunca
34a9a008,Nunca
34abcf99,Nunca
34b14165,Nunca
34b233de,Nunca
34b363d5,Nunca
34b3d91f,Nunca
34b53d0c,Nunca
34ba80ce,Nunca
34bddf48,Nunca
34bedf78,Nunca
34bf216d,Esporadico
34bf6966,Nunca
34bfc9b9,Nunca
34c139ce,Frecuente
34c72f4d,Nunca
34c75dd7,Nunca
34c7942b,Nunca
34cb3377,Nunca
34cbe5ea,Nunca
34cc9144,Nunca
34d16999,Nunca
34d233ee,Casi nunca
34d26d9b,Nunca
34d717c0,Nunca
34d751d1,Nunca
34d8145b,Nunca
34d9b25a,Nunca
34da5e4a,Nunca
34dfbdbc,Nunca
34dfcfa9,Nunca
34e50361,Nunca
34e64e88,Nunca
34e6c353,Nunca
34e7ea68,Nunca
34e8321f,Nunca
34e84a87,Nunca
34e8a77e,Nunca
34ea41e9,Nunca
34eb2a3f,Nunca
34eb427e,Nunca
34eb4d5c,Nunca
34eea827,Nunca
34f3b134,Nunca
34f3c931,Nunca
34f4499d,Nunca
34fa5bf3,Nunca
34fb30d3,Nunca
34fbf2e5,Nunca
3500d3be,Nunca
3502ce2f,Nunca
35043d32,Casi nunca
35045912,Nunca
35095f74,Nunca
350c87a4,Nunca
350fd2da,Nunca
3510127e,Nunca
3510939c,Nunca
35110809,Nunca
35126bd3,Nunca
35165a5a,Nunca
351a25f5,Nunca
351cb358,Nunca
351dfeeb,Nunca
351eefd8,Nunca
3520b31f,Nunca
35213592,Nunca
35238010,Nunca
3524a988,Nunca
35259134,Nunca
35299a57,Nunca
352a20f1,Nunca
352d9a14,Casi nunca
35329603,Nunca
3536e824,Nunca
3539ac45,Nunca
3541afab,Nunca
3542c081,Nunca
35444060,Nunca
3547e234,Nunca
354a08bb,Nunca
354a91ab,Nunca
354ac5e6,Nunca
354b505b,Nunca
354bb9bb,Nunca
354df148,Nunca
354e3ef9,Nunca
354eef96,Nunca
354fb0a3,Nunca
3550c768,Nunca
3550d1f7,Nunca
3553672c,Nunca
355551f3,Nunca
35572725,Nunca
355794a7,Nunca
35591472,Nunca
3559635d,Nunca
355ae501,Nunca
355bf95d,Nunca
355d30b3,Nunca
355dc7eb,Nunca
355f77e2,Nunca
35654c69,Nunca
356752ee,Nunca
3569a93a,Nunca
356f1ff1,Nunca
35705fee,Nunca
357276fd,Nunca
3575e80c,Casi nunca
3577d295,Nunca
357b6d47,Nunca
357cdf49,Nunca
3584e17d,Nunca
3587680c,Esporadico
35881ff9,Esporadico
358907be,Nunca
3589f574,Nunca
358bef18,Nunca
358ecc8e,Nunca
35932d5a,Nunca
35946899,Nunca
3594a4b4,Nunca
3595fc1a,Nunca
35962810,Nunca
359a4d59,Esporadico
359b78e2,Nunca
359b96d5,Nunca
359c4d2f,Nunca
359ddc25,Nunca
35a172f9,Nunca
35a9fb8a,Nunca
35aec0ea,Casi nunca
35aff991,Nunca
35b35d4d,Nunca
35b47528,Casi nunca
35b4c78a,Esporadico
35b6e730,Nunca
35b7c24c,Nunca
35b98fb8,Nunca
35bb720f,Nunca
35bcbc7c,Nunca
35bcdef1,Nunca
35bd853b,Nunca
35c33a43,Nunca
35c376e7,Nunca
35c50367,Nunca
35c95b00,Nunca
35d34da5,Nunca
35d64de6,Nunca
35d67987,Nunca
35d77a5c,Nunca
35d9be5b,Nunca
35dc911d,Nunca
35df3d38,Nunca
35e29d13,Nunca
35e78f93,Frecuente
35e8069d,Nunca
35ec43b2,Nunca
35ee0cc8,Esporadico
35eea34d,Nunca
35f3b921,Nunca
35f57697,Nunca
35f63ef3,Nunca
35f69b07,Nunca
35f76317,Nunca
35f84841,Nunca
35f8af4e,Nunca
35f8ece9,Nunca
35fabe1c,Nunca
3601d2dc,Nunca
36040d58,Nunca
3605b0b3,Nunca
360809ea,Nunca
360b0769,Nunca
360c4d25,Nunca
360dbee2,Nunca
360f27ef,Nunca
3612c0c5,Nunca
36149ca3,Nunca
361924b2,Nunca
361ada35,Nunca
36204470,Nunca
3621a5bd,Nunca
36247834,Nunca
36268d37,Nunca
3628c8d8,Nunca
36293e3c,Nunca
362bb693,Nunca
362d77e4,Nunca
36307f49,Nunca
3633241d,Nunca
3638358d,Nunca
363886fc,Nunca
36389ae4,Nunca
3638e0e6,Nunca
363bf7d4,Nunca
3640ffeb,Nunca
36412b1a,Nunca
36415fcb,Nunca
36426d17,Esporadico
3643cf50,Frecuente
36474151,Nunca
3649e699,Nunca
364c56b8,Nunca
364e9938,Nunca
364ed147,Nunca
364f0520,Frecuente
3650f5af,Nunca
3655f959,Nunca
3659ff6d,Nunca
365a1424,Nunca
365bed36,Frecuente
365c612c,Nunca
365cee08,Nunca
365ee330,Nunca
36606944,Frecuente
36651ea1,Esporadico
3667136b,Nunca
366cd058,Frecuente
366e51ef,Nunca
366ef852,Nunca
367187fe,Esporadico
36722f8f,Nunca
3672ad12,Esporadico
36773b71,Frecuente
367d06d1,Nunca
367dbe4c,Nunca
36818e88,Casi nunca
36826a30,Nunca
36846c04,Nunca
3684855b,Esporadico
36893613,Nunca
368ab6c6,Nunca
368d1ff0,Nunca
368d6a19,Nunca
368dc910,Nunca
3690acd3,Nunca
3696c1f5,Nunca
3696ea0e,Nunca
369a4f7c,Nunca
369d7b61,Nunca
369db4b0,Nunca
369ec773,Nunca
369fb8df,Nunca
36a16e32,Nunca
36a2bc7c,Nunca
36a5bd57,Nunca
36a67a79,Nunca
36a755d0,Nunca
36a9be3b,Nunca
36aaed05,Nunca
36b13a32,Nunca
36b3602d,Nunca
36b393ba,Nunca
36b3f05e,Casi nunca
36b4767d,Nunca
36b6499d,Nunca
36b70f66,Nunca
36b7d2c7,Nunca
36b8cacb,Nunca
36b970bd,Nunca
36bb5f26,Nunca
36bee32f,Nunca
36bf1f77,Nunca
36c1fcd2,Nunca
36c224c9,Nunca
36c28e0b,Nunca
36c2cda9,Casi nunca
36c52061,Nunca
36c56915,Nunca
36c7b956,Nunca
36c88400,Esporadico
36ca4e03,Frecuente
36caf433,Nunca
36cb24cc,Nunca
36cfb5c1,Nunca
36d0d516,Nunca
36d3b07d,Nunca
36d7f4a7,Nunca
36da0094,Frecuente
36da26ec,Nunca
36dafbae,Nunca
36dcf3b4,Nunca
36df2d3b,Nunca
36e3ee7a,Nunca
36e767ba,Nunca
36e85d3b,Nunca
36ea23b7,Nunca
36eb7241,Nunca
36ed4114,Esporadico
36edc49c,Nunca
36ee0c38,Esporadico
36ef2e65,Nunca
36efe29a,Nunca
36f18936,Nunca
36f34068,Nunca
36f39532,Casi nunca
36f77084,Nunca
36f86988,Nunca
36f9d0ed,Nunca
36fa16fe,Nunca
36fc008b,Casi nunca
36fdadca,Nunca
36ff1227,Nunca
37000cb0,Nunca
3702d4c0,Nunca
37035b80,Esporadico
37040abb,Frecuente
3704bfea,Nunca
370584e4,Nunca
3706d5a8,Nunca
3708de02,Nunca
370c1614,Nunca
370c4aa2,Nunca
370c7cab,Nunca
370c94cc,Nunca
370d5f2d,Nunca
370f16bd,Nunca
3712af31,Nunca
3712ca3e,Nunca
37135eae,Nunca
37167268,Nunca
371e4c62,Frecuente
37210850,Nunca
372183bd,Esporadico
372612ac,Nunca
37284c05,Nunca
372d4d84,Nunca
37305898,Nunca
37319100,Nunca
3732491b,Nunca
3732ffe1,Nunca
373e271f,Nunca
373f78d0,Frecuente
37428727,Nunca
37464b87,Esporadico
37465241,Nunca
374b7e4c,Nunca
374cd8c9,Nunca
37522a3b,Nunca
37534ab9,Nunca
3753a4c5,Nunca
37583dd4,Nunca
37590742,Esporadico
3759f0e4,Nunca
375a7c79,Nunca
375d2b01,Nunca
375d7466,Nunca
3764203f,Nunca
37648442,Nunca
3764c395,Nunca
37658e3a,Nunca
3767a0b7,Nunca
3767f9b9,Nunca
376b4a5e,Nunca
376bfceb,Nunca
376cf57e,Esporadico
37705f87,Nunca
37708e0e,Nunca
37720542,Nunca
377349b0,Nunca
377404a5,Nunca
3778f293,Nunca
377de8ad,Nunca
377e9ad2,Casi nunca
377f0ba7,Nunca
37819f90,Nunca
378241cc,Nunca
37836745,Nunca
3787229d,Frecuente
3788bb09,Nunca
378c6ad2,Nunca
378ed9e2,Nunca
3791105a,Nunca
3792f9c1,Nunca
37945d93,Nunca
379473e5,Casi nunca
37963cfa,Esporadico
379774d0,Casi nunca
3797d62e,Nunca
379b5ce7,Frecuente
379ba880,Nunca
379bdf67,Casi nunca
379c6cfd,Nunca
379d7284,Frecuente
379eb838,Nunca
37a0837e,Nunca
37a09cda,Nunca
37a3af8b,Nunca
37a42a83,Nunca
37a9a282,Nunca
37ab1db5,Nunca
37ab8877,Esporadico
37ae3bce,Nunca
37ae99c1,Nunca
37b22407,Nunca
37b406cf,Nunca
37b872ce,Nunca
37b88523,Nunca
37d0c640,Nunca
37d201d4,Nunca
37d3dc15,Nunca
37d58eb9,Nunca
37d6b418,Nunca
37d863ae,Nunca
37dda8c4,Nunca
37de6da7,Nunca
37deedc4,Nunca
37dffef0,Nunca
37e7db40,Nunca
37e86b72,Casi nunca
37eff05b,Casi nunca
37f1c724,Nunca
37f32211,Nunca
37f50b7f,Nunca
37f50f16,Nunca
37f6c116,Nunca
37f825eb,Nunca
37fd749a,Nunca
37ff662b,Nunca
37ff6ffa,Nunca
380032ae,Nunca
3801ac2e,Nunca
380a898b,Frecuente
380a9af6,Nunca
380c0e60,Esporadico
380da2ae,Nunca
380dc601,Nunca
38110b97,Nunca
3813e029,Nunca
381469b8,Nunca
3815121f,Nunca
38183d00,Nunca
381936ea,Nunca
3821a4d0,Nunca
382314f7,Nunca
382872ec,Nunca
3829e704,Nunca
382c1c56,Nunca
382cf904,Nunca
382ebcfc,Nunca
38346a42,Nunca
3836fc46,Nunca
38371361,Nunca
383920ff,Nunca
383c591b,Nunca
383d30a6,Nunca
38401a60,Nunca
3840691e,Nunca
384295d8,Nunca
3842af40,Nunca
3845c3c8,Nunca
3848a211,Nunca
3848d966,Frecuente
384ba2b4,Nunca
384c1e9c,Nunca
384dd0c9,Nunca
384dfe47,Nunca
385103fa,Nunca
3852ce70,Nunca
3856fdc8,Nunca
38576edd,Nunca
385a0555,Nunca
386176c2,Nunca
38632c58,Esporadico
387045d6,Nunca
3872d9f1,Nunca
387340fa,Nunca
3875a7ae,Nunca
3875c058,Esporadico
3878aa72,Nunca
387aeb76,Nunca
387c541a,Nunca
3880ef02,Nunca
38835f09,Nunca
38856ef1,Nunca
38861aa1,Nunca
38864f78,Nunca
3886ab9c,Nunca
3887b35e,Nunca
3888b7bc,Nunca
3888f02d,Nunca
3889f5ea,Nunca
388ae066,Nunca
388d15ff,Nunca
388de4a9,Nunca
388efa8d,Nunca
38913326,Esporadico
389301e1,Nunca
38952e5b,Nunca
389598ed,Esporadico
38975bba,Nunca
38984efc,Nunca
3898530d,Nunca
3898858d,Nunca
389c194b,Nunca
389c1f0c,Nunca
389c7790,Nunca
389e6a42,Nunca
389fe61f,Nunca
38a1827c,Nunca
38a20941,Nunca
38a3a46e,Nunca
38a6d1dc,Nunca
38a8aeab,Esporadico
38b244f3,Nunca
38b5c201,Nunca
38b62c5e,Casi nunca
38b66a87,Nunca
38b6b397,Nunca
38b6eddc,Nunca
38b844cb,Nunca
38b8b36e,Nunca
38b9015b,Nunca
38c15f3c,Nunca
38c24dda,Nunca
38c31cea,Nunca
38c3e99b,Nunca
38c42ada,Nunca
38c4dfda,Frecuente
38c9d11e,Nunca
38ca5f6f,Nunca
38cb4f65,Nunca
38d043a2,Nunca
38d0fa5c,Nunca
38d2f764,Nunca
38d3d738,Nunca
38d6f6db,Nunca
38da2061,Nunca
38da26b6,Nunca
38dacfbe,Nunca
38db2ba0,Casi nunca
38deebe3,Nunca
38df0170,Nunca
38e2d05c,Nunca
38e3b86a,Nunca
38e639de,Nunca
38e7b3f1,Nunca
38e823e3,Nunca
38e8e59f,Nunca
38ea19e2,Nunca
38eaf939,Nunca
38ed5efa,Nunca
38f1cc04,Nunca
38f20326,Nunca
38f50a21,Nunca
38f6c529,Nunca
38f7aafa,Nunca
38fc715f,Nunca
38fcb149,Nunca
38fd5fa1,Nunca
38ff9fec,Nunca
39006a31,Nunca
3902a67a,Nunca
3905c2e5,Nunca
3905dff5,Esporadico
390735bf,Nunca
390a5c22,Nunca
390d180a,Nunca
390e370b,Nunca
390ef4e6,Nunca
390f09f1,Nunca
390f3b35,Nunca
390ffd65,Nunca
39102428,Nunca
391143bd,Casi nunca
391325c5,Nunca
3913659e,Nunca
39163aca,Nunca
391986d1,Nunca
39199dfc,Nunca
391a925a,Nunca
391b728c,Nunca
391b780e,Frecuente
391cce16,Nunca
391f1e90,Nunca
3924462b,Nunca
3925ec29,Nunca
39292b40,Nunca
392bde86,Nunca
392df1f3,Nunca
392fc67d,Nunca
3931bc3f,Nunca
39348140,Nunca
393627a1,Nunca
39367303,Nunca
3936a544,Nunca
39399ab1,Nunca
393a18e8,Nunca
393b59b0,Nunca
393c23c7,Nunca
393e3cf5,Nunca
393fc79a,Nunca
3941361e,Nunca
39428a98,Nunca
3942da6b,Nunca
3946cf3f,Nunca
39497854,Nunca
3949b2ef,Nunca
394b0858,Frecuente
394bf276,Nunca
394c1422,Nunca
394f0acc,Nunca
3952513a,Nunca
3952e5d3,Nunca
39536866,Frecuente
3956b1e1,Nunca
39599bea,Nunca
395d4a67,Nunca
395e35e1,Esporadico
395e997a,Nunca
395ec8c2,Nunca
395fd0b3,Nunca
39631cb4,Nunca
39644f09,Frecuente
3965dbb9,Nunca
39674437,Nunca
3969ff4d,Nunca
396a43d4,Nunca
396aaf63,Nunca
396b6bd4,Nunca
396b6d51,Esporadico
3970fb45,Nunca
3972fdc0,Esporadico
39749fe3,Esporadico
39758e04,Nunca
397bb54b,Nunca
397ecd65,Nunca
39803ddf,Nunca
3983716a,Nunca
39837d0b,Nunca
39858e7d,Nunca
3986423d,Nunca
39891a8d,Nunca
39896b5b,Nunca
398a253c,Nunca
399207af,Nunca
3992a6c8,Nunca
399448e2,Nunca
39944b14,Nunca
39949fc7,Nunca
3994c377,Frecuente
399623d3,Nunca
399a78a8,Nunca
399b2ec2,Frecuente
39a1d352,Nunca
39a5cf45,Nunca
39a6a166,Nunca
39a82da4,Nunca
39a87123,Nunca
39a9b23f,Casi nunca
39a9c37a,Nunca
39ad7c4c,Nunca
39b0092a,Nunca
39b0e597,Nunca
39b4e685,Nunca
39b52250,Nunca
39b60fa4,Nunca
39bb486a,Nunca
39bbddb1,Nunca
39bc5b84,Nunca
39be995b,Nunca
39c1e431,Nunca
39c1eac7,Nunca
39c4b75c,Nunca
39c4d325,Nunca
39c5c0ad,Nunca
39c633f7,Nunca
39c71357,Nunca
39c877f9,Nunca
39c90e90,Casi nunca
39cc7b17,Nunca
39cdb5db,Nunca
39cedca5,Nunca
39cf5e24,Nunca
39d42935,Esporadico
39d75f7b,Nunca
39d76ae4,Nunca
39dcc4fa,Esporadico
39debede,Nunca
39df97e0,Frecuente
39e0babe,Nunca
39e3bff1,Esporadico
39e59ed1,Nunca
39eac137,Nunca
39eb7354,Nunca
39ecabbc,Nunca
39ed3684,Nunca
39ef3ea0,Nunca
39ef79bf,Nunca
39efb490,Nunca
39f0fe1a,Nunca
39f1abf1,Nunca
39f230a7,Nunca
39f3a1dd,Nunca
39f652c7,Esporadico
39f82c83,Nunca
39fa04a8,Nunca
39fa1440,Nunca
39fd9f93,Frecuente
39fecd26,Nunca
39ff1271,Nunca
3a028b01,Nunca
3a03a0eb,Nunca
3a07b6c8,Nunca
3a0ae820,Nunca
3a118d05,Esporadico
3a125f16,Nunca
3a152289,Nunca
3a18c589,Nunca
3a1b50db,Nunca
3a1be301,Nunca
3a1c9e3c,Nunca
3a1ce096,Nunca
3a1d353e,Casi nunca
3a1e276a,Frecuente
3a1e42c8,Nunca
3a20db97,Nunca
3a24125b,Nunca
3a273ae3,Nunca
3a28806a,Nunca
3a298eb5,Nunca
3a2a08b1,Nunca
3a31bf2b,Nunca
3a32289c,Nunca
3a3366de,Nunca
3a39cd0d,Nunca
3a3a5e97,Nunca
3a3af9ea,Nunca
3a3efde8,Nunca
3a3f49d3,Nunca
3a3f5934,Nunca
3a418bbe,Esporadico
3a42dfb8,Nunca
3a44e639,Casi nunca
3a4abcb4,Nunca
3a4b1477,Nunca
3a4bf431,Nunca
3a4c858f,Nunca
3a5539a9,Nunca
3a576860,Nunca
3a58edec,Nunca
3a58fb3c,Esporadico
3a5cc17d,Nunca
3a63dc6f,Nunca
3a6978c2,Nunca
3a69e071,Nunca
3a6c87c4,Nunca
3a6cf890,Nunca
3a6d432f,Nunca
3a701eaa,Nunca
3a70af65,Nunca
3a71ab0a,Nunca
3a737d46,Nunca
3a74c972,Nunca
3a76b9df,Nunca
3a76fa6c,Nunca
3a78f0c4,Nunca
3a7adb50,Nunca
3a7bd849,Nunca
3a815910,Nunca
3a8280cb,Nunca
3a82e51b,Nunca
3a84d4f4,Frecuente
3a84de00,Nunca
3a88c8af,Nunca
3a91e66f,Nunca
3a9351c4,Nunca
3a93651a,Nunca
3a94f32e,Nunca
3a952d05,Nunca
3a95c9fe,Nunca
3a96e770,Nunca
3a9bbb86,Nunca
3a9cb434,Esporadico
3a9e3898,Nunca
3a9f6210,Nunca
3aa073f0,Nunca
3aa141b3,Esporadico
3aa37967,Nunca
3aa6ac0b,Nunca
3aaa644b,Nunca
3aab2448,Nunca
3aace784,Nunca
3aad5d7f,Frecuente
3aad5f49,Nunca
3aada25a,Nunca
3aae4375,Nunca
3ab1be62,Nunca
3ab2df3e,Esporadico
3ab56a1b,Nunca
3ab64d78,Nunca
3ab87cd5,Nunca
3abea4dc,Nunca
3ac0562a,Nunca
3aca87ba,Esporadico
3acaa109,Nunca
3aceadfc,Nunca
3ad08bb7,Nunca
3ad1cd2d,Nunca
3ad60de6,Nunca
3ad8acad,Nunca
3ad91b9c,Nunca
3ad94e6b,Nunca
3ae05724,Nunca
3ae2240d,Nunca
3ae2bb6e,Nunca
3ae2f34e,Nunca
3ae4846a,Nunca
3ae65947,Nunca
3ae7dc1d,Nunca
3ae90f60,Nunca
3aed590c,Nunca
3af46714,Nunca
3af480ee,Nunca
3af60bb5,Nunca
3af791c9,Frecuente
3afadbba,Nunca
3afcf1fc,Nunca
3afd399e,Nunca
3afd4551,Nunca
3affa908,Nunca
3b035cc3,Nunca
3b0d99de,Nunca
3b11156e,Nunca
3b11ce76,Frecuente
3b126b87,Nunca
3b13ba2d,Nunca
3b14512d,Nunca
3b149466,Frecuente
3b1806d9,Nunca
3b18476b,Nunca
3b19e54e,Nunca
3b21c58b,Nunca
3b22927e,Nunca
3b242f08,Nunca
3b2b33a7,Nunca
3b2c4507,Nunca
3b2d17f6,Nunca
3b2d5e15,Nunca
3b2f6ff4,Nunca
3b2f908e,Nunca
3b32e2a0,Nunca
3b34780f,Nunca
3b361426,Nunca
3b37a68f,Nunca
3b38ee14,Nunca
3b3a8075,Nunca
3b3c1309,Nunca
3b3ca5e9,Nunca
3b3dcda4,Nunca
3b3ff363,Nunca
3b40121a,Frecuente
3b43f028,Nunca
3b485b7f,Nunca
3b489447,Nunca
3b48d02d,Nunca
3b49c50e,Nunca
3b4dea68,Nunca
3b524646,Nunca
3b58d05a,Nunca
3b5a4ed7,Nunca
3b5c3c10,Nunca
3b5e144d,Nunca
3b5e9da6,Nunca
3b60a77d,Frecuente
3b63c0e7,Nunca
3b67fd23,Nunca
3b6a5df8,Nunca
3b6c2691,Nunca
3b70b47f,Nunca
3b71cf1c,Frecuente
3b71ed06,Nunca
3b721ebc,Nunca
3b72fe91,Nunca
3b7364c6,Nunca
3b75a3be,Nunca
3b76776e,Nunca
3b77290e,Nunca
3b77ccac,Nunca
3b798a4c,Frecuente
3b7ce69c,Nunca
3b7d9701,Nunca
3b7dbaa8,Nunca
3b8feb77,Nunca
3b900457,Nunca
3b927442,Nunca
3b94311d,Nunca
3b9a0429,Nunca
3b9dfd20,Nunca
3ba5179f,Nunca
3ba96013,Nunca
3ba9df34,Nunca
3bab10e9,Nunca
3bacebc5,Nunca
3bad1e8d,Nunca
3bad42d9,Nunca
3bad6b96,Esporadico
3bada1f7,Nunca
3bb7c019,Frecuente
3bb7c77e,Nunca
3bbbe12b,Nunca
3bbc10df,Nunca
3bbc4aab,Frecuente
3bc0e88c,Nunca
3bc4f12e,Esporadico
3bc71c28,Nunca
3bc89ca9,Nunca
3bca8be3,Nunca
3bcab77a,Nunca
3bcd227a,Nunca
3bcd56a2,Nunca
3bce459d,Frecuente
3bd1c838,Nunca
3bd2bd0b,Nunca
3bd2e781,Nunca
3bd55b47,Nunca
3bd6f7d9,Nunca
3bde7f7b,Nunca
3be0c884,Nunca
3be53d34,Nunca
3be5dcc2,Nunca
3be84255,Nunca
3beb31e4,Nunca
3bec287d,Nunca
3bee0bab,Nunca
3bf0135b,Frecuente
3bf0d722,Esporadico
3bf1d319,Nunca
3bf42ff8,Nunca
3bf4782c,Esporadico
3bf80670,Nunca
3bfb597f,Nunca
3bfc0ef7,Esporadico
3bfc6fac,Nunca
3bfd141d,Nunca
3bfd19f3,Frecuente
3c0178d8,Esporadico
3c01a13e,Nunca
3c034af7,Nunca
3c06b12e,Nunca
3c0702cb,Nunca
3c08b038,Nunca
3c0a6e24,Nunca
3c0de7fb,Nunca
3c0f064c,Casi nunca
3c0feffd,Nunca
3c12a4bf,Nunca
3c17d642,Nunca
3c1d3934,Nunca
3c1d949b,Nunca
3c1e60b6,Casi nunca
3c1f0024,Nunca
3c1f2073,Nunca
3c1f6a2a,Frecuente
3c1fad7f,Nunca
3c1fc767,Nunca
3c221651,Nunca
3c22e5b0,Nunca
3c23e38e,Nunca
3c250b8d,Nunca
3c26f5e1,Nunca
3c280906,Nunca
3c290d76,Nunca
3c2b1133,Frecuente
3c2bc5e5,Nunca
3c2bd91b,Nunca
3c2da6d4,Nunca
3c331d1a,Nunca
3c36c384,Nunca
3c36cfc3,Nunca
3c379667,Nunca
3c39a5a1,Nunca
3c416e02,Nunca
3c45a766,Nunca
3c45f776,Nunca
3c4bfd08,Esporadico
3c528c76,Nunca
3c5613a1,Nunca
3c5d28e4,Nunca
3c5d3782,Nunca
3c5e3856,Nunca
3c5e4fb1,Nunca
3c5fdd9d,Nunca
3c615521,Nunca
3c62bb49,Nunca
3c64c5cb,Nunca
3c673168,Nunca
3c6a72be,Nunca
3c6b41ed,Nunca
3c6bbf87,Nunca
3c6cf689,Nunca
3c6d928b,Esporadico
3c6ded39,Nunca
3c6e5c72,Nunca
3c70d2c5,Nunca
3c79b16e,Nunca
3c7b0ba7,Nunca
3c807ad2,Esporadico
3c8232a3,Nunca
3c85cf12,Nunca
3c89a467,Nunca
3c8ab991,Nunca
3c8bf3b5,Frecuente
3c8e1eb1,Nunca
3c8f710f,Nunca
3c8f7937,Nunca
3c8f8b94,Nunca
3c953c75,Nunca
3c95d795,Nunca
3c989939,Nunca
3c98bf76,Nunca
3c9cdf6e,Nunca
3c9d3f39,Nunca
3c9f2ae5,Nunca
3ca19d51,Nunca
3ca23ad5,Nunca
3ca6554a,Nunca
3ca7197b,Esporadico
3cabad7e,Nunca
3cad7f8f,Frecuente
3cafaa45,Nunca
3cb2388c,Nunca
3cb2bfc5,Nunca
3cb72f8e,Nunca
3cbee4f3,Nunca
3cc017e5,Frecuente
3cc1045e,Nunca
3cc122e4,Nunca
3cc162f9,Nunca
3cc204af,Nunca
3cc30aeb,Esporadico
3cc38de3,Nunca
3cc55dc2,Frecuente
3cc6cb89,Nunca
3cc7edcc,Nunca
3ccaec55,Nunca
3ccb8c46,Nunca
3cd1bf1d,Frecuente
3cd2b076,Nunca
3cd364c5,Nunca
3cd434ec,Casi nunca
3cd7ae43,Nunca
3cd7b7a2,Nunca
3cd945fa,Nunca
3cda7abe,Nunca
3cdacf12,Nunca
3cdb5128,Nunca
3cdd761f,Nunca
3ce16f43,Nunca
3ce369e2,Nunca
3ce62b46,Nunca
3ce668ba,Nunca
3ce7f009,Nunca
3ce8cb0b,Nunca
3ce9a5a3,Nunca
3ceb0215,Nunca
3ceb0af5,Nunca
3cec2165,Frecuente
3cee24fc,Casi nunca
3cf20c6f,Nunca
3cf25413,Nunca
3cf29c51,Nunca
3cf39b86,Nunca
3cf62767,Nunca
3cf9adf8,Nunca
3cfa4fce,Nunca
3cfb2d02,Esporadico
3cfcb39c,Nunca
3cfdd702,Nunca
3cffef0d,Nunca
3d010501,Nunca
3d07fe07,Frecuente
3d0a94cb,Nunca
3d0b850b,Nunca
3d0c2866,Nunca
3d0c7d47,Nunca
3d0ca4f9,Frecuente
3d0efac4,Nunca
3d103a65,Esporadico
3d10ef8c,Nunca
3d13c759,Nunca
3d170349,Nunca
3d170af9,Nunca
3d1912c3,Nunca
3d194282,Nunca
3d1d8720,Nunca
3d1eb8f6,Nunca
3d2024a3,Frecuente
3d205ab2,Frecuente
3d20c133,Nunca
3d24d913,Frecuente
3d280d6a,Nunca
3d2952a0,Nunca
3d296b8f,Nunca
3d2990de,Esporadico
3d2a0727,Nunca
3d2b0b6c,Nunca
3d2edf4e,Nunca
3d30e441,Nunca
3d32ced5,Nunca
3d340ade,Nunca
3d344a01,Nunca
3d376b3f,Nunca
3d3efd2a,Nunca
3d40fb44,Nunca
3d416b27,Nunca
3d41ec9e,Nunca
3d421b7f,Nunca
3d45979a,Nunca
3d483f9a,Nunca
3d491095,Nunca
3d4c7093,Nunca
3d4d5807,Nunca
3d4d78a6,Nunca
3d4e5d4d,Nunca
3d4f841a,Nunca
3d4ffc63,Frecuente
3d51807a,Nunca
3d52f0ca,Nunca
3d536edb,Nunca
3d5394a9,Nunca
3d549e56,Nunca
3d54ff3a,Nunca
3d5685d3,Nunca
3d59f6e6,Frecuente
3d5be8c9,Nunca
3d601bf5,Nunca
3d6633f5,Nunca
